StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Prolific ID,decision_hr_2,decision_hr_2,decision_hr_2,decision_hr_2,decision_hr_2,decision_hr_2,decision_hr_2,decision_hr_2,decision_hr_2,decision_hr_2,decision_hr_2,decision_hr_2,decision_hr_2,decision_hr_2,decision_hr_2,decision_hr_2,decision_hr_2,decision_hr_2,decision_med_2,decision_med_2,decision_med_2,decision_med_2,decision_med_2,decision_med_2,decision_med_2,decision_med_2,decision_med_2,decision_med_2,decision_med_2,decision_med_2,decision_med_2,decision_med_2,decision_med_2,decision_med_2,decision_med_2,decision_med_2,Effort_1,Time of preparation_1,Originality and nove_1,Originality and nove_2,Originality and nove_3,Originality and nove_4,Accountability_1,Accountability_2,Accountability_3,Accountability_4,Transparency_1,Transparency_2,Transparency_3,Transparency_4,Reliability_1,Reliability_2,Reliability_3,Reliability_4,QID30,Q30,Q31_1,Q44,Q47,Q35,Q32,Q36,Q50,Q49,AnalystName,ReportType,FL_3_DO,FL_5_DO,FL_9_DO
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,Please enter your Prolific ID,Which company do you choose to invest?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,"In your opinion, how much effort did it take the analyst to prepare this report? - Effort of prepration","In your opinion, how much time did it take the analyst to prepare this report? - Time of preparation",To what extent do you agree or disagree with the following statements about the report? (1/4) - The report offered an original perspective.,To what extent do you agree or disagree with the following statements about the report? (1/4) - The report showed signs of an unconventional approach.,To what extent do you agree or disagree with the following statements about the report? (1/4) - The report felt like it was based on what most people would think.,To what extent do you agree or disagree with the following statements about the report? (1/4) - The report seems to draw on the most common data patterns and conventional lines of thinking.,To what extent do you agree or disagree with the following statements about the report? (2/4) - I would know who would be held accountable if the recommendations in this report turned out to be wrong.,To what extent do you agree or disagree with the following statements about the report? (2/4) - The report gave me confidence that someone would stand behind its claims.,To what extent do you agree or disagree with the following statements about the report? (2/4) - The report felt like it was produced without clear ownership.,To what extent do you agree or disagree with the following statements about the report? (2/4) - I did not get the sense that anyone was personally responsible for this report.,To what extent do you agree or disagree with the following statements about the report? (3/4) - I could clearly understand the process used to create the report.,To what extent do you agree or disagree with the following statements about the report? (3/4) - The report's reasoning process felt like a 'black box' to me.,"To what extent do you agree or disagree with the following statements about the report? (3/4) - I feel that potential limitations, assumptions, or biases associated with this report were sufficiently clear.",To what extent do you agree or disagree with the following statements about the report? (3/4) - The report did not provide sufficient information and evidence to justify its various points and arguments.,"To what extent do you agree or disagree with the following statements about the report? (4/4) - I felt confident that, if I knew which companies the pseudonyms referred to, I could check the accuracy of the facts and data presented in the report.",To what extent do you agree or disagree with the following statements about the report? (4/4) - The report gave me the feeling that it might include errors stated as facts.,To what extent do you agree or disagree with the following statements about the report? (4/4) - Everything in the report felt grounded in verifiable sources.,To what extent do you agree or disagree with the following statements about the report? (4/4) - Some parts of the report made me pause and question their accuracy.,"In your own words, what do you believe is the main research question or purpose of this study?","Did you have any specific guesses about the hypothesis the researchers were trying to test? If so, what were they?","On a scale from 1 to 7, how realistic did the investment report feel to you? - How realistic did the investment report feel to you?","Could you briefly explain your rating? What, if anything, made the report feel particularly realistic or unrealistic?","Finally, do you have any other comments, suggestions, or feedback about any part of the study? We appreciate any thoughts on the instructions, the investment report, the survey questions, or your overall experience.",Was Generative AI used in conducting the analysis for the report?,Was Generative AI used in gathering information for the report?,Was Generative AI used in formulating the recommendation for the report?,"Thinking back to your investment decision, to what extent did the 'Generative AI Disclosure' section of the report influence your choice?","Finally, do you have any other comments, suggestions, or feedback about any part of the study? We appreciate any thoughts on the instructions, the investment report, the survey questions, or your overall experience.",AnalystName,ReportType,FL_3 - Block Randomizer - Display Order,FL_5 - Block Randomizer - Display Order,FL_9 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID94""}","{""ImportId"":""QID97""}","{""ImportId"":""QID100""}","{""ImportId"":""QID103""}","{""ImportId"":""QID106""}","{""ImportId"":""QID109""}","{""ImportId"":""QID112""}","{""ImportId"":""QID115""}","{""ImportId"":""QID118""}","{""ImportId"":""QID121""}","{""ImportId"":""QID124""}","{""ImportId"":""QID127""}","{""ImportId"":""QID130""}","{""ImportId"":""QID133""}","{""ImportId"":""QID136""}","{""ImportId"":""QID139""}","{""ImportId"":""QID145""}","{""ImportId"":""QID148""}","{""ImportId"":""QID151""}","{""ImportId"":""QID154""}","{""ImportId"":""QID157""}","{""ImportId"":""QID160""}","{""ImportId"":""QID163""}","{""ImportId"":""QID166""}","{""ImportId"":""QID169""}","{""ImportId"":""QID172""}","{""ImportId"":""QID178""}","{""ImportId"":""QID181""}","{""ImportId"":""QID184""}","{""ImportId"":""QID187""}","{""ImportId"":""QID190""}","{""ImportId"":""QID196""}","{""ImportId"":""QID199""}","{""ImportId"":""QID202""}","{""ImportId"":""QID211""}","{""ImportId"":""QID208""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID15_4""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID16_3""}","{""ImportId"":""QID16_4""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID17_3""}","{""ImportId"":""QID17_4""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID18_3""}","{""ImportId"":""QID18_4""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID45_TEXT""}","{""ImportId"":""QID48_TEXT""}","{""ImportId"":""QID36""}","{""ImportId"":""QID33""}","{""ImportId"":""QID37""}","{""ImportId"":""QID51_TEXT""}","{""ImportId"":""QID50_TEXT""}","{""ImportId"":""AnalystName""}","{""ImportId"":""ReportType""}","{""ImportId"":""FL_3_DO""}","{""ImportId"":""FL_5_DO""}","{""ImportId"":""FL_9_DO""}"
2025-08-14 11:27:55,2025-08-14 11:41:16,IP Address,100,800,True,2025-08-14 11:41:16,R_1jC3KAUkfGYvDb3,anonymous,EN,0.8999999761581421,67ae047c6e531fb2e70c1926,,,,,,,,,,,,,,,,,,,,Adaptive Vision (ADPT),,,,,,,,,,,,,,,,,3,4=Average amount of time,4=Neutral,5,3,4=Neutral,3,2,5,4=Neutral,4=Neutral,5,5,4=Neutral,4=Neutral,4=Neutral,5,5,,,,,,Yes,Yes,Yes,I was worried about hallucinations/accuracy.,,J.M. Wright,Med,FL_43,FL_112,Pre-testSet2
2025-08-14 11:38:34,2025-08-14 11:45:49,IP Address,100,435,True,2025-08-14 11:45:51,R_3VvwJ4ZxZsLnUU9,anonymous,EN,1,67842c60c9cba1e154a69bbd,,,,,,,,,Hamilton Sterling Group (HSG),,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,5,2,6,6,5,7=Strongly agree,2,6,6,3,5,3,6,2,5,7=Strongly agree,,,,,,Yes,Yes,Yes,It doesn't affect me at all,,J.M. Wright,HR,FL_43,FL_17,Pre-testSet2
2025-08-14 11:40:09,2025-08-14 11:46:25,IP Address,100,376,True,2025-08-14 11:46:26,R_5CEFlICitKjX1rH,anonymous,EN,1,6792c956f76b9027f9768491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Celestial Optics (CELO),,,,,,,,6,6,6,4=Neutral,4=Neutral,5,5,5,3,3,5,3,6,3,6,4=Neutral,4=Neutral,4=Neutral,"I think the report was made using AI, so I'm thinking the study maybe looking at how accurate and realistic AI reports are.",N/A,5,It seemed to be laid out differently and show slightly different information than reports that I have looked at on say Fidelity's website when I have been choosing investment options.,,,,,,,Christopher Davis,Med,FL_44,FL_126,Pre-testSet1
2025-08-14 11:38:54,2025-08-14 11:47:06,IP Address,100,491,True,2025-08-14 11:47:06,R_5zMiZ6ASp9MPK8Z,anonymous,EN,1,5a8b527d5292b80001232b81,,,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4=Average amount of effort,4=Average amount of time,4=Neutral,3,5,6,2,2,6,6,4=Neutral,4=Neutral,4=Neutral,3,5,4=Neutral,5,5,"If the information provided was sufficient enough for most, and if individuals blindly follow any source.",Same as above.,6,How the tech company was the thriving one and the leadership firm was the biggest loss (if I remember correctly). Very similar to current economy.,No comment.,,,,,,Sarah Brown,HR,FL_45,FL_80,Pre-testSet1
2025-08-14 11:42:18,2025-08-14 11:47:57,IP Address,100,338,True,2025-08-14 11:47:57,R_6NxGnM7HhngVvsO,anonymous,EN,0.8999999761581421,67f083fe2557073ca3e175a6,,,,,,,,,,,,,,,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,,,5,5,5,4=Neutral,4=Neutral,3,2,6,5,6,3,4=Neutral,4=Neutral,3,5,3,5,3,,,,,,No,Yes,No,"Not sure, I mostly made up my mind when I noticed that","1) I wondered what the study was about. Will you tell us that? Is it on decision biases in financial decision making? 2) The financial report was easy to read but some of the questions afterwards are in very small (and too light, grayish) font and I had to zoom in to read them.",J.M. Wright,HR,FL_43,FL_88,Pre-testSet2
2025-08-14 11:40:55,2025-08-14 11:48:17,IP Address,100,441,True,2025-08-14 11:48:17,R_1bPiDYH6ORkfua5,anonymous,EN,1,66e74ca113f609cd2a13df59,,,,,,,,,,,,,,,,,,,,,,,,,,,Vista Therapeutics (VSTA),,,,,,,,,,6,5,6,4=Neutral,5,4=Neutral,2,2,2,2,6,4=Neutral,5,2,6,3,5,3,,,,,,No,I don't recall,No,To a minimal extent,The subject matter was interesting to consider.,Sarah Brown,Med,FL_45,FL_21,Pre-testSet2
2025-08-14 11:36:41,2025-08-14 11:48:44,IP Address,100,723,True,2025-08-14 11:48:45,R_7qyCRuen3CCfeAd,anonymous,EN,1,5928df79366dc80001d0b788,,,,,,,,Hamilton Sterling Group (HSG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,6,2,6,6,6,2,1=Strongly Disagree,1=Strongly Disagree,6,2,5,2,6,2,2,4=Neutral,To see how the average person evaluates financial claims when making investment decisions.,Do people trust AI-driven financial claims without supporting evidence?,4=Moderately realistic,"If I'm being honest, I have not the first clue - I have never read a legitimate, real-world investment report to gauge its realism against.",,,,,,,Christopher Davis,HR,FL_44,FL_16,Pre-testSet1
2025-08-14 11:44:45,2025-08-14 11:53:37,IP Address,100,532,True,2025-08-14 11:53:37,R_5oMc0W8Lk5h3tWd,anonymous,EN,1,663a9b1d3da45426e26b41f9,,,,,,,,,,,,,,,,,,,,,,,,,,Celestial Optics (CELO),,,,,,,,,,,5,6,5,4=Neutral,3,5,3,5,3,4=Neutral,5,4=Neutral,6,3,5,4=Neutral,4=Neutral,3,AIâ€™s accuracy of projection of investments,Who most people would choose to invest in,4=Moderately realistic,It felt realistic with all of the info and data. Not sure all was accurate though,,,,,,,Christopher Davis,Med,FL_44,FL_100,Pre-testSet1
2025-08-14 11:40:25,2025-08-14 12:04:42,IP Address,100,1456,True,2025-08-14 12:04:42,R_5zBIb7CINlUMxV8,anonymous,EN,0.699999988079071,6608d100a54f3802903f7fe1,,,,,,,,,,,,,,,,,,,Celestial Optics (CELO),,,,,,,,,,,,,,,,,,6,6,6,2,2,4=Neutral,4=Neutral,6,2,2,6,2,6,2,6,2,6,2,,,,,,No,No,No,It influenced my trust of the report. No use of AI made me feel like the author spent time and thought creating this analysis.,,Sarah Brown,Med,FL_45,FL_20,Pre-testSet2
2025-08-14 11:58:30,2025-08-14 12:06:44,IP Address,100,493,True,2025-08-14 12:06:45,R_1E65MMbDEgXyRmB,anonymous,EN,0.8999999761581421,67ce1065642e75fb03792cd2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adaptive Vision (ADPT),,,,,,,5,5,5,4=Neutral,4=Neutral,6,2,2,4=Neutral,4=Neutral,6,6,2,5,5,2,3,5,"How people assess the trustworthiness of financial reports maybe depending on how wrote it (race or gender or nationality based on the name) or something about how people judge business information depending on where companies operate (China or elsewhere?). ",See my earlier answers. But it was hard to tell exactly because the report is very detailed and a lot is going on in it.,7=Extremely realistic,The dry tone with the business buzzwords felt much like what you see in similar reports and the formatting also felt realistic.,It's a long study but it was interesting. I hope I made the right choice of companies. :),,,,,,J.M. Wright,Med,FL_43,FL_124,Pre-testSet1
2025-08-14 12:05:01,2025-08-14 12:13:35,IP Address,100,514,True,2025-08-14 12:13:36,R_1nOCH8XyV7cpZig,anonymous,EN,0.8999999761581421,6648a42105946eb5408e05d4,,,,,,,,,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,4=Neutral,3,5,6,5,4=Neutral,2,2,5,3,4=Neutral,2,7=Strongly agree,3,7=Strongly agree,3,I have a feeling some other proportion of participants got an article produced by an AI researcher. I would guess it is studying how participants value research from human vs AI authors.,"Would there be differences in trust rate between an AI vs human author for financial advice. ",3,"I would expect a ""real"" investment report to be longer and more detailed/thorough. This felt like the cliffs note version of one (which is perfectly acceptable for a environment like this of course).",n/a,,,,,,Christopher Davis,HR,FL_44,FL_18,Pre-testSet1
