StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Prolific ID,decision_hr_2,decision_hr_2,decision_hr_2,decision_hr_2,decision_hr_2,decision_hr_2,decision_hr_2,decision_hr_2,decision_hr_2,decision_hr_2,decision_hr_2,decision_hr_2,decision_hr_2,decision_hr_2,decision_hr_2,decision_hr_2,decision_hr_2,decision_hr_2,decision_med_2,decision_med_2,decision_med_2,decision_med_2,decision_med_2,decision_med_2,decision_med_2,decision_med_2,decision_med_2,decision_med_2,decision_med_2,decision_med_2,decision_med_2,decision_med_2,decision_med_2,decision_med_2,decision_med_2,decision_med_2,Effort_1,Time of preparation_1,Originality and nove_1,Originality and nove_2,Originality and nove_3,Originality and nove_4,Accountability_1,Accountability_2,Accountability_3,Accountability_4,Transparency_1,Transparency_2,Transparency_3,Transparency_4,Reliability_1,Reliability_2,Reliability_3,Reliability_4,QID30,Q30,Q31_1,Q44,Q47,Q35,Q32,Q36,Q50,Q49,AnalystName,ReportType,FL_3_DO,FL_5_DO,FL_9_DO
2025-08-14 11:54:53,2025-08-14 12:14:59,IP Address,100,1205,True,2025-08-14 12:14:59,R_1N9MJLN8gwBuOyG,anonymous,EN,1,5c0558b8553fb80001191980,,,,,,,,,,,,,,,,,,,,,,,Celestial Optics (CELO),,,,,,,,,,,,,,3,2,4=Neutral,4=Neutral,5,6,4=Neutral,2,6,7=Strongly agree,4=Neutral,4=Neutral,2,6,6,5,2,6,To see if people are more willing to take advice and financial risks when they know the source of said advice is AI generated (disclaimer: but I could be very definitely wrong).,"If I was right about the purpose of the study, then I'd guess the researchers hypothesized that people would be more willing to take financial advice and risks from a mostly AI generated financial report.",3,"Yes, it just felt like the report was too short and needed more graphs and charts as well as information.",No,,,,,,Christopher Davis,Med,FL_44,FL_106,Pre-testSet1
2025-08-14 12:12:54,2025-08-14 12:22:45,IP Address,100,591,True,2025-08-14 12:22:45,R_6cTPZ3mbTtDrYid,anonymous,EN,1,6776f1e4b568c14c86e66cd9,,,,,,,,,,,,,,,,,,,,,,,,Celestial Optics (CELO),,,,,,,,,,,,,6,6,5,3,4=Neutral,4=Neutral,7=Strongly agree,1=Strongly Disagree,4=Neutral,4=Neutral,6,1=Strongly Disagree,4=Neutral,2,5,3,6,3,,,,,,Yes,Yes,I don't recall,"It didn't! I read every word and stuck with my first choice to the end. ","This was great fun. Thank you! ",Sarah Brown,Med,FL_45,FL_104,Pre-testSet2
2025-08-14 12:22:48,2025-08-14 12:28:44,IP Address,100,356,True,2025-08-14 12:28:45,R_7elUbD1Ap0WxC1i,anonymous,EN,1,653ae70380d91293ccf6e5d9,,,,,,,,,,,,,,,,,,,,,Celestial Optics (CELO),,,,,,,,,,,,,,,,5,6,5,4=Neutral,4=Neutral,5,2,3,6,7=Strongly agree,3,5,3,5,3,5,3,6,To determine if the perception of reports with fact-based errors affect decision making against our common knowledge.,To determine if people would change their opinions based on experience mainly from reading this report.,2,"I think some of the metrics they used to measure the success of the report were not accurate, because they involved trying to use deception to make a particular point. It is also true that life is full of deception, but it was very clear here and not so clear in real life that deception was used, which has probably influenced many people's decision making.",No,,,,,,J.M. Wright,Med,FL_43,FL_110,Pre-testSet1
2025-08-14 12:25:09,2025-08-14 12:30:58,IP Address,100,348,True,2025-08-14 12:30:58,R_1gTqxNgoiFeso0g,anonymous,EN,1,641ec1a9d9fe8a0941e39862,,,,,,Hamilton Sterling Group (HSG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4=Average amount of effort,4=Average amount of time,4=Neutral,3,5,5,2,2,5,6,6,2,3,2,6,2,6,2,,,,,,No,No,Yes,I was less trusting of the report.,,Christopher Davis,HR,FL_44,FL_76,Pre-testSet2
2025-08-14 12:30:08,2025-08-14 12:35:33,IP Address,100,324,True,2025-08-14 12:35:33,R_3POe2u87rD8lXNp,anonymous,EN,0.8999999761581421,6825af939111d286546fdde6,,,,,,,,,,,,,,Hamilton Sterling Group (HSG),,,,,,,,,,,,,,,,,,,,,,,6,6,5,5,4=Neutral,5,3,3,4=Neutral,5,3,5,3,5,6,3,5,3,My best guess is that it is about financial incentives. Maybe you varied the amount of the bonus offered or the type of bonus (guaranteed or lottery or both?) to see how that affects people's decisions or how carefully they read the report.,Maybe that a bonus that has a fixed component and a lottery component works best in making people read the report carefully and thus make better decisions.,6,"Nothing about it made me feel it was unrealistic. Usually there is company logo on these things or some other watermark or letterhead if they are in a PDF or on paper, but generally it felt real(istic).",,,,,,,J.M. Wright,HR,FL_43,FL_92,Pre-testSet1
2025-08-14 12:32:51,2025-08-14 12:39:00,IP Address,100,368,True,2025-08-14 12:39:00,R_5OdlB9IMejboFnv,anonymous,EN,1,66fd6acd36eb80a1ea468aed,,,Hamilton Sterling Group (HSG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,5,6,5,4=Neutral,3,4=Neutral,2,3,5,4=Neutral,5,7=Strongly agree,5,4=Neutral,6,7=Strongly agree,,,,,,Yes,No,Yes,It determined that I needed to pay attention to the other factors besides the AI generated recommendations and made me adhere to critical thinking when choosing the company that I think is best to invest with.,I believe other industries should also be used in this study to get a breadth of knowledge from other people who are subject matters experts in different industries that can be invested in.,Christopher Davis,HR,FL_44,FL_82,Pre-testSet2
2025-08-14 12:36:53,2025-08-14 12:40:19,IP Address,100,206,True,2025-08-14 12:40:20,R_3F4Z7yTVAMKS9VK,anonymous,EN,1,671bdd06525adeea062a1d73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vista Therapeutics (VSTA),,5,6,3,5,5,4=Neutral,3,5,6,5,5,3,6,6,6,5,6,4=Neutral,,,,,,I don't recall,Yes,No,It did not influence my decision at all.,"Nope, thank you!",Sarah Brown,Med,FL_45,FL_114,Pre-testSet2
2025-08-14 12:36:52,2025-08-14 12:44:41,IP Address,100,468,True,2025-08-14 12:44:41,R_6w0Ji1FidzW4GAx,anonymous,EN,1,676f2ff678d74407b518207d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adaptive Vision (ADPT),,,5,5,5,3,5,5,3,5,3,3,6,2,6,2,5,3,5,2,How people evaluate and trust information when AI is involved in content creation,I believe the researchers are testing how trustworthy people find content created by AI,6,"I don't have a lot of experience reading similar types of reports, but it all reads plausibly.",,,,,,,Sarah Brown,Med,FL_45,FL_116,Pre-testSet1
2025-08-14 12:29:18,2025-08-14 12:49:55,IP Address,100,1236,True,2025-08-14 12:49:55,R_3rJykalWtbQClTy,anonymous,EN,1,62bf0e174650375f525c21bf,Apollo Medical (APLO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4=Average amount of time,6,1=Strongly Disagree,6,4=Neutral,2,5,4=Neutral,5,4=Neutral,3,3,2,5,3,5,4=Neutral,,,,,,No,Yes,Yes,It didn't effect my choice much. Healthcare will always make money. Tech ebs and flows as does recruiting. As for as the negative share prices... large companies have had negative results and go on to be wildly successful.,,Sarah Brown,HR,FL_45,FL_15,Pre-testSet2
2025-08-14 12:52:33,2025-08-14 13:12:38,IP Address,100,1204,True,2025-08-14 13:12:38,R_5bJYbbqEhPJSQsM,anonymous,EN,1,671b277a6d04904df5f9503b,,,,,,,,,,,,,,,,,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,7=Extreme amount of effort,6,6,5,4=Neutral,4=Neutral,5,6,3,3,6,4=Neutral,6,2,7=Strongly agree,4=Neutral,6,3,"To see how people interpret financial data and recommendations ","To see if people trusted the information they were provided ",5,"It seemed well done and professional to me. I think it could have included a bit mkre historical information but it gave good recent trend data ","This was interesting and fun ",,,,,,Christopher Davis,HR,FL_44,FL_19,Pre-testSet1
2025-08-14 13:28:38,2025-08-14 13:30:33,IP Address,100,115,True,2025-08-14 13:30:34,R_3hMzvp5dXVS909w,anonymous,EN,1,6767186c7cca096bb22aaed7,,Hamilton Sterling Group (HSG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7=Extreme amount of time,7=Strongly agree,4=Neutral,6,6,7=Strongly agree,5,6,6,7=Strongly agree,4=Neutral,4=Neutral,6,5,7=Strongly agree,6,6,,,,,,Yes,Yes,Yes,"large extent ",,J.M. Wright,HR,FL_43,FL_84,Pre-testSet2
2025-08-14 13:29:12,2025-08-14 13:38:23,IP Address,100,550,True,2025-08-14 13:38:24,R_3BhUnbu9nC3AyZb,anonymous,EN,1,67059311fdf4bc0b38a00848,,,,,,,,,,,,,,,,,,,,,,,,,,,,Celestial Optics (CELO),,,,,,,,,5,6,6,5,5,6,4=Neutral,5,5,4=Neutral,5,3,5,3,5,5,4=Neutral,5,A review of a financial report.,No,6,Seemed knowledgeable and full of information to me.,,,,,,,J.M. Wright,Med,FL_43,FL_22,Pre-testSet1
2025-08-14 13:31:55,2025-08-14 13:46:59,IP Address,100,903,True,2025-08-14 13:46:59,R_7wyRt65xaDmnTJ7,anonymous,EN,1,60a71d27a66fac796ad4de6f,,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4=Average amount of time,5,4=Neutral,3,6,2,5,5,2,5,3,5,2,5,3,3,3,I think it's going to see how AI can be used to explain investment choices to consumers and customers like me. I think this research is to see how natural and helpful AI can sound when it comes to investment strategies.,N/A,5,"I felt like the survey was based on facts, but also it felt like someone was giving me their opinion.",no,,,,,,Sarah Brown,HR,FL_45,FL_82,Pre-testSet1
2025-08-14 13:39:17,2025-08-14 13:47:43,IP Address,100,506,True,2025-08-14 13:47:43,R_35sBjMa5ofAs4eP,anonymous,EN,0.8999999761581421,5ee94f66395da52f305b3ca7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vista Therapeutics (VSTA),,,,,,4=Average amount of effort,4=Average amount of time,5,3,4=Neutral,4=Neutral,5,5,2,1=Strongly Disagree,5,2,5,3,6,3,5,3,,,,,,Yes,No,Yes,"Not consciously probably but I did notice the recommendation was AI-generated. I appreciated the disclosure of that. ",N/A,Christopher Davis,Med,FL_44,FL_122,Pre-testSet2
2025-08-14 13:49:04,2025-08-14 13:53:23,IP Address,100,258,True,2025-08-14 13:53:24,R_3EScWZ52B8OTg5l,anonymous,EN,0.8999999761581421,663a7a0af9ef5d31ca1f0a9c,,Hamilton Sterling Group (HSG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,4=Neutral,4=Neutral,5,5,2,2,6,6,4=Neutral,4=Neutral,4=Neutral,4=Neutral,5,3,5,5,,,,,,Yes,Yes,Yes,I noticed it but I don't think it influenced me. The text didn't sound AI generated.,Some of the pages had font sizes that were too small.,J.M. Wright,HR,FL_43,FL_84,Pre-testSet2
2025-08-14 13:54:35,2025-08-14 14:01:41,IP Address,100,426,True,2025-08-14 14:01:41,R_7dbqIWSaMo7m11p,anonymous,EN,1,561487ad7ffc8a0012812266,,,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4=Average amount of time,5,2,3,2,6,4=Neutral,3,4=Neutral,5,2,6,1=Strongly Disagree,6,3,5,2,how much we trust an financial report based largely on AI,No specifuic hypoithesis,6,"It read like many Ive seen in the past. Some of it was obviosusly written by AI, but it in luded buzzwords and things that seem c ommon",No other feedback,,,,,,Sarah Brown,HR,FL_45,FL_80,Pre-testSet1
2025-08-14 13:59:31,2025-08-14 14:03:48,IP Address,100,257,True,2025-08-14 14:03:49,R_6rw1VCK9vgqyK1z,anonymous,EN,1,6720378a683a5d8a933493fb,,,,,,,,,,,,,,,,,,,,,,,Celestial Optics (CELO),,,,,,,,,,,,,,3,3,4=Neutral,4=Neutral,4=Neutral,4=Neutral,2,2,6,5,3,3,4=Neutral,4=Neutral,5,3,5,3,,,,,,Yes,Yes,No,"It gave me pause. In the end, I didn't follow the report's recommendation, so maybe that influenced me a bit, but I don't know if what I would have done if I didn't know about the AI use -- maybe I would have still made the same decision anyway.",,Christopher Davis,Med,FL_44,FL_106,Pre-testSet2
2025-08-14 14:02:13,2025-08-14 14:08:25,IP Address,100,371,True,2025-08-14 14:08:25,R_3OjM0qtTFdef8tH,anonymous,EN,1,5ccf87bfb46c7000010d8428,,,,,,,,,,,,,,,,,,,,,,,,,,Adaptive Vision (ADPT),,,,,,,,,,,6,5,3,4=Neutral,5,5,5,5,3,3,5,3,3,4=Neutral,5,6,4=Neutral,6,,,,,,Yes,Yes,Yes,Not much of an influence. That is acceptable to use AI in making the report.,None,Sarah Brown,Med,FL_45,FL_100,Pre-testSet2
2025-08-14 14:04:03,2025-08-14 14:09:12,IP Address,100,309,True,2025-08-14 14:09:13,R_7pMtopQrYJM8m0z,anonymous,EN,0.8999999761581421,67301111865cf8fa81ac7897,,,,,,,,,,,,,,,,,,,,Vista Therapeutics (VSTA),,,,,,,,,,,,,,,,,4=Average amount of effort,4=Average amount of time,5,5,4=Neutral,5,3,3,5,5,4=Neutral,3,4=Neutral,3,3,6,3,5,"To study discrimination in whether we believe a report's recommendation more depending on the source (name or name recognition of the company or name of the analyst -- for example, an English last name or an Indian last name).","People don't trust foreign analysts and/or small, unknown research companies as much (or they only trust foreign analysts if the firm is well known like Goldman Sachs)",6,Nothing stood out,,,,,,,Christopher Davis,Med,FL_44,FL_112,Pre-testSet1
2025-08-14 14:02:49,2025-08-14 14:11:06,IP Address,100,497,True,2025-08-14 14:11:07,R_1gFjP01FYS82BiZ,anonymous,EN,1,6763f1133bd483762829334e,,,,,,,,,,,,Apollo Medical (APLO),,,,,,,,,,,,,,,,,,,,,,,,,6,6,7=Strongly agree,3,6,7=Strongly agree,2,3,3,1=Strongly Disagree,6,2,5,6,6,6,7=Strongly agree,7=Strongly agree,determine how people interpret information,understanding investments,7=Extremely realistic,its realistic because i analyze companies before investing in them,no,,,,,,J.M. Wright,HR,FL_43,FL_96,Pre-testSet1
2025-08-14 14:03:48,2025-08-14 14:17:51,IP Address,100,843,True,2025-08-14 14:17:52,R_7fvZi7jldGicuU4,anonymous,EN,1,66f0c2c17d872e5874877985,,,,,,,,,,,,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,,,,,,5,5,5,3,6,5,5,6,2,3,5,6,5,3,5,5,5,6,making finanical decision,-,7=Extremely realistic,-,,,,,,,Christopher Davis,HR,FL_44,FL_94,Pre-testSet1
2025-08-14 14:08:20,2025-08-14 14:17:58,IP Address,100,577,True,2025-08-14 14:17:58,R_1ZBsIRNSNHTv8Ya,anonymous,EN,1,65cb6d799d023df9be06bfb6,,,,,,,,,,,,,,,,,,,,,,,,,Celestial Optics (CELO),,,,,,,,,,,,6,6,7=Strongly agree,4=Neutral,5,5,5,5,4=Neutral,2,5,2,6,3,6,4=Neutral,6,3,"ability to understand technical writing, risk tolerance, adherence to authority figures",No,7=Extremely realistic,"very technical specifications, discussed investment strategies related to timing, well written",,,,,,,Sarah Brown,Med,FL_45,FL_102,Pre-testSet1
2025-08-14 14:10:31,2025-08-14 14:20:32,IP Address,100,600,True,2025-08-14 14:20:33,R_563WEZJ9oDx7Eup,anonymous,EN,0.8999999761581421,6848926c273c09f28311df5c,,,,,,,,,,,,,,,,,,,,,,Adaptive Vision (ADPT),,,,,,,,,,,,,,,3,3,4=Neutral,4=Neutral,6,6,3,2,6,6,3,6,4=Neutral,7=Strongly agree,7=Strongly agree,5,6,6,,,,,,Yes,No,Yes,Strongly influenced it especially the fact that both the data/facts and the recommendation came from AI,"I didn't really feel confident about the accuracy of the ""facts"" in the report but at some point you asked if I felt like I could check the accuracy facts. I think I COULD check if I knew the companies (so I responded ""agree"" to that question) but that does not mean I expect the ""facts"" or data to be accurate. So that was an odd question... I mean, I know I could check but I suspect I would find some inaccurate details if I checked. Maybe that's what you are going for but if not, I was a bit confused about that question and what it was asking me",Sarah Brown,Med,FL_45,FL_108,Pre-testSet2
2025-08-14 14:10:28,2025-08-14 14:24:07,IP Address,100,819,True,2025-08-14 14:24:08,R_1D7wCkJ6goQCeOG,anonymous,EN,1,672c1b00e4ed661368e89749,Hamilton Sterling Group (HSG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4=Average amount of effort,3,2,2,1=Strongly Disagree,6,1=Strongly Disagree,1=Strongly Disagree,2,3,6,3,1=Strongly Disagree,1=Strongly Disagree,7=Strongly agree,2,6,2,,,,,,I don't recall,Yes,No,Very little,,J.M. Wright,HR,FL_43,FL_15,Pre-testSet2
2025-08-14 14:22:44,2025-08-14 14:26:11,IP Address,100,206,True,2025-08-14 14:26:11,R_5O8mGlOIqU8i8ge,anonymous,EN,0.8999999761581421,662938efd711c3639bd68aa3,,,,,,,,,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,4=Neutral,4=Neutral,5,6,4=Neutral,2,1=Strongly Disagree,4=Neutral,3,4=Neutral,3,6,3,5,2,,,,,,No,No,No,"Not really. I saw simiilar disclosures in my own work and I am sure it will be standard in finance, too, soon","fun study, thank you for the opportunity",J.M. Wright,HR,FL_43,FL_18,Pre-testSet2
2025-08-14 14:26:32,2025-08-14 14:30:22,IP Address,100,230,True,2025-08-14 14:30:23,R_5S1OpYLgS596A9c,anonymous,EN,0.8999999761581421,682a50d2769e21e578e1c3d4,,,,,,,Hamilton Sterling Group (HSG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,4=Neutral,4=Neutral,5,2,3,6,6,5,6,7=Strongly agree,6,5,4=Neutral,5,4=Neutral,financial literacy,seeing how different people make decisions based on complex financial information,6,Report felt realistic. And I was told the companies were real.,,,,,,,Sarah Brown,HR,FL_45,FL_74,Pre-testSet1
2025-08-14 14:22:32,2025-08-14 14:31:36,IP Address,100,543,True,2025-08-14 14:31:37,R_5pLWS9JUXaQhVxp,anonymous,EN,1,670b51569bc4cb66e1a4bdca,,,,,,,,,,,,,,,,,,,,,,,,Celestial Optics (CELO),,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,which investment strategies yield the highest long-term returns for individual investors,higher -risk investment assets generate significantly higher average returns than lower - risk assets over the long term,5,its fair because the net income was ok,,,,,,,Christopher Davis,Med,FL_44,FL_104,Pre-testSet1
2025-08-14 14:30:57,2025-08-14 14:34:06,IP Address,100,189,True,2025-08-14 14:34:06,R_6OqVmprXuQ8mGMf,anonymous,EN,0.8999999761581421,66dceb449e0e3f3b1f239b3b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Celestial Optics (CELO),,,,,,,,1=Very little effort,1=Very little time,2,2,4=Neutral,4=Neutral,4=Neutral,3,4=Neutral,4=Neutral,1=Strongly Disagree,3,3,5,4=Neutral,6,4=Neutral,5,,,,,,Yes,Yes,Yes,It made me question it more. It was all AI so I wasn't sure how much oversight the analyst had.,A bit too long,J.M. Wright,Med,FL_43,FL_126,Pre-testSet2
2025-08-14 14:51:09,2025-08-14 14:58:52,IP Address,100,463,True,2025-08-14 14:58:52,R_7PHqew9lraCciNu,anonymous,EN,0.8999999761581421,66b92d3b18295c1e6c125b85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vista Therapeutics (VSTA),,,5,5,4=Neutral,4=Neutral,3,5,2,2,3,4=Neutral,4=Neutral,5,4=Neutral,4=Neutral,5,4=Neutral,3,5,Do people trust financial reports more or less depending on the report's features  (Doest it include information about the analyst's bio and qualifications? Does it include a general disclaimer? Does it include an AI disclosure?),No good guesses,6,"There are usually more graphs and more detail but for a survey study, it felt very realistic in my opinion.",The report is quite long and there are many follow-up questions in small font so it was a bit of drag at the end to get through it all,,,,,,Christopher Davis,Med,FL_44,FL_116,Pre-testSet1
2025-08-14 14:51:02,2025-08-14 15:07:49,IP Address,100,1006,True,2025-08-14 15:07:50,R_64r7snm7EUu4H3q,anonymous,EN,1,6701206a49833a2065d10763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vista Therapeutics (VSTA),,,,4=Average amount of effort,5,7=Strongly agree,6,2,4=Neutral,4=Neutral,5,2,2,7=Strongly agree,2,5,2,7=Strongly agree,4=Neutral,7=Strongly agree,3,,,,,,No,No,Yes,It was neutral.,,Sarah Brown,Med,FL_45,FL_118,Pre-testSet2
